Name,Ticker,Sector,ROCE %,Avg ROCE 5Yr %,Min ROCE 5Yr %,ROE %,Avg ROE 5Yr %,Min ROE 5Yr %,Sales growth 5Yr %,Profit growth 5Yr %,Debt to equity,Promoter holding %,Promoter holding 3Yr ago %,Pledged percentage %,PEG Ratio,PE,Avg PE 5Yr,Price to book,Avg ROCE 3Yr %,Avg ROE 3Yr %,Sales growth 3Yr %,Profit growth 3Yr %,Free cash flow last year,Dividend yield %,Return 1Yr %,Return 3Yr %,Return 5Yr %,Industry PE
"Rockwell Automation, Inc.",ROK,Industrials,27.18,23.11,,27.18,23.11,,9.52,31.68,1.13,91.09,91.09,0.0,2.05,49.03,49.03,14.9,24.46,24.46,11.9,39.6,974499968.0,117.0,39.17,54.4,80.63,32.32
Sysco Corporation,SYY,Consumer Defensive,81.89,69.61,,81.89,69.61,,3.76,-10.8,6.7,89.85,89.85,0.0,1.67,23.56,23.56,17.66,73.71,73.71,4.7,-13.5,1868375040.0,259.0,10.59,27.37,28.53,23.56
The Allstate Corporation,ALL,BFSI,45.22,38.44,,45.22,38.44,,2.4,270.72,0.24,85.97,85.97,0.0,3.0,5.54,5.54,2.18,40.7,40.7,3.0,338.4,12428999680.0,173.0,28.68,144.2,113.2,17.06
Waters Corporation,WAT,Healthcare,5.21,4.43,,5.21,4.43,,73.12,9.6,0.37,99.81,99.81,0.0,1.67,48.32,48.32,2.43,4.69,4.69,91.4,12.0,-502370624.0,0.0,9.39,47.33,5.63,26.17
Vertiv Holdings Co,VRT,Industrials,45.1,38.33,,45.1,38.33,,24.08,108.56,0.77,86.1,86.1,0.0,1.51,75.7,75.7,29.17,40.59,40.59,30.1,135.7,1964749952.0,8.0,138.02,1191.74,993.69,32.32
Illinois Tool Works Inc.,ITW,Industrials,96.85,82.32,,96.85,82.32,,3.68,9.44,2.83,86.84,86.84,0.0,2.7,25.33,25.33,24.3,87.16,87.16,4.6,11.8,2215749888.0,236.0,7.11,18.71,37.82,32.32
"Akamai Technologies, Inc.",AKAM,Technology,9.17,7.79,,9.17,7.79,,4.64,-10.72,1.2,113.4,113.4,0.0,1.34,38.1,38.1,3.36,8.25,8.25,5.8,-13.4,700723392.0,0.0,43.14,27.09,-3.43,37.83
"Citizens Financial Group, Inc.",CFG,BFSI,7.74,6.58,,7.74,6.58,,11.04,37.44,0.0,99.53,99.53,0.0,1.65,16.82,16.82,1.26,6.97,6.97,13.8,46.8,0.0,259.0,50.83,214.14,95.48,17.06
DaVita Inc.,DVA,Healthcare,80.98,68.83,,80.98,68.83,,4.8,34.8,12.61,99.73,99.73,0.0,0.73,22.63,22.63,-20.58,72.88,72.88,6.0,43.5,999662976.0,0.0,64.49,140.59,94.37,26.17
"Fortinet, Inc.",FTNT,Technology,132.39,112.53,,132.39,112.53,,16.08,22.88,0.57,89.91,89.91,0.0,3.53,60.56,60.56,115.91,119.15,119.15,20.1,28.6,1813049984.0,0.0,46.51,110.21,211.07,37.83
M&T Bank Corporation,MTB,BFSI,10.29,8.75,,10.29,8.75,,4.56,19.52,0.0,93.34,93.34,0.0,1.54,13.41,13.41,1.37,9.26,9.26,5.7,24.4,0.0,251.0,19.04,114.88,96.35,17.06
The J. M. Smucker Company,SJM,Consumer Defensive,7.6,6.46,,-2.39,-2.03,,4.64,9.6,1.29,96.55,96.55,0.0,2.17,10.85,10.85,2.24,6.84,-2.15,5.8,12.0,1005774976.0,378.0,12.32,-10.17,7.38,23.56
"CoStar Group, Inc.",CSGP,Real Estate,0.3,0.26,,0.3,0.26,,18.0,9.6,0.14,105.18,105.18,0.0,0.11,428.57,428.57,1.54,0.27,0.27,22.5,12.0,202200000.0,0.0,-63.24,-66.42,-64.11,33.16
Westinghouse Air Brake Technologies Corporation,WAB,Industrials,11.31,9.61,,11.31,9.61,,10.4,10.24,0.62,96.94,96.94,0.0,1.37,37.03,37.03,4.01,10.17,10.17,13.0,12.8,1123250048.0,47.0,23.04,151.26,235.77,32.32
The Charles Schwab Corporation,SCHW,BFSI,19.08,16.22,,19.08,16.22,,12.64,30.88,1.21,90.6,90.6,0.0,1.16,19.28,19.28,3.97,17.17,17.17,15.8,38.6,0.0,132.0,4.75,81.4,46.47,17.06
"Datadog, Inc.",DDOG,Technology,3.93,3.34,,3.93,3.34,,25.76,83.2,0.32,92.55,92.55,0.0,1.62,667.59,667.59,23.23,3.54,3.54,32.2,104.0,936726528.0,0.0,70.83,165.27,139.57,37.83
Iron Mountain Incorporated,IRM,Real Estate,6.84,5.81,,0.0,0.0,,17.28,688.0,0.0,88.72,88.72,0.0,2.7,125.98,125.98,-28.69,6.15,0.0,21.6,860.0,-499464512.0,295.0,16.79,133.07,235.61,33.16
"CoreWeave, Inc.",CRWV,Technology,-0.32,-0.28,,-40.67,-34.57,,89.28,9.6,7.39,75.72,75.72,0.0,1.5,-81.01,-81.01,9.14,-0.29,-36.61,111.6,12.0,-8560327168.0,0.0,-48.81,0.0,0.0,37.83
MSCI Inc.,MSCI,BFSI,30.82,26.2,,0.0,0.0,,11.28,39.28,0.0,97.33,97.33,0.0,1.94,34.48,34.48,-15.85,27.74,0.0,14.1,49.1,1206103936.0,136.0,2.57,35.08,15.89,17.06
